Spread,Val_R2,Test_R2,Val_MSE,Test_MSE,Hit_Rate,Total_Profit_$
3 Mo_3 Yr_spread_10d_change,0.30919470584572273,-0.5859022947195258,0.030815193104166694,0.12889310768229145,0.5,1544.1258883248784
1 Yr_5 Yr_spread_40d_change,0.32870831600892725,-0.4176115067540067,0.09255422438657401,0.08246544887626249,0.6363636363636364,1354.9294037011655
5 Yr_20 Yr_spread_15d_change,0.24195199736805473,-0.03711173981126348,0.013867540648148144,0.018819076724537042,0.6666666666666666,279.8933333333326
3 Yr_5 Yr_spread_10d_change,0.25468542699241115,-0.5288871847822392,0.0029500741232638852,0.002634941507523141,0.5416666666666666,158.88849557522167
5 Yr_20 Yr_spread_70d_change,0.5263241114572098,-0.3069337680645019,0.021965403564814818,0.05990735453042325,0.38095238095238093,126.63623395149747
5 Yr_10 Yr_spread_80d_change,0.4092009281460285,-0.7013759618050153,0.01591341916666666,0.029689589232804244,0.38095238095238093,62.490823084198574
1 Yr_10 Yr_spread_7d_change,0.2674358070549744,-0.10327284516811552,0.014669470782440635,0.013725786820268584,0.625,-21.01961320065172
5 Yr_30 Yr_spread_50d_change,0.29867466328998604,-0.14789260729304332,0.03060700656958618,0.06290641222281129,0.4090909090909091,-59.69228203341903
5 Yr_10 Yr_spread_50d_change,0.3640836713606609,-0.27720037400638,0.012324411735879615,0.017239038436588625,0.36363636363636365,-131.3739988209871
5 Yr_10 Yr_spread_70d_change,0.29249141457431316,-0.38222791480649865,0.01742190759070097,0.020391152762240638,0.14285714285714285,-139.94459277830276
3 Yr_20 Yr_spread_50d_change,0.3310465417754864,-0.2526419967366502,0.05893061871046575,0.09047077416265502,0.45454545454545453,-160.56899589798445
5 Yr_10 Yr_spread_40d_change,0.36759035246207217,-0.7597168938193333,0.011485152083333316,0.02179467545454544,0.36363636363636365,-235.90969793322753
3 Yr_30 Yr_spread_30d_change,0.27896396552373026,-0.6531115483758367,0.04988855833333334,0.09310486739130437,0.4782608695652174,-249.2512653061233
3 Yr_30 Yr_spread_50d_change,0.464866165418903,-0.5740422863968431,0.04770235028356482,0.13269956991161613,0.5454545454545454,-271.96628537025856
5 Yr_20 Yr_spread_40d_change,0.33061814990387806,-0.7538775469193468,0.0315751834751157,0.06327729281881328,0.2727272727272727,-625.2870445344157
5 Yr_20 Yr_spread_50d_change,0.48095762288645116,-0.9099869469652544,0.01958375724537036,0.08523119438131309,0.4090909090909091,-886.8140350877189
